CustomerID,Name,Segment
MZ-17335,Maria Zettner,Home Office
RP-19390,Resi Pölking,Consumer
HZ-14950,Henia Zydlo,Consumer
RO-19780,Rose O'Brian,Consumer
TB-21625,Trudy Brown,Consumer
BS-11590,Brendan Sweed,Corporate
GT-14755,Guy Thornton,Consumer
MV-17485,Mark Van Huff,Consumer
SC-20440,Shaun Chance,Corporate
BD-11500,Bradley Drucker,Consumer
EB-13750,Edward Becker,Corporate
DL-13315,Delfina Latchford,Consumer
MN-17935,Michael Nguyen,Consumer
TT-21070,Ted Trevino,Consumer
JM-15250,Janet Martin,Consumer
GT-14710,Greg Tran,Consumer
RB-19795,Ross Baird,Home Office
TS-21370,Todd Sumrall,Corporate
DG-13300,Deirdre Greer,Corporate
LS-17245,Lynn Smith,Consumer
LW-16990,Lindsay Williams,Corporate
DB-13615,Doug Bickford,Consumer
SZ-20035,Sam Zeldin,Home Office
PG-18820,Patrick Gardner,Consumer
CM-12385,Christopher Martinez,Consumer
DO-13645,Doug O'Connell,Consumer
JR-16210,Justin Ritter,Corporate
CS-12250,Chris Selesnick,Corporate
JM-15265,Janet Molinari,Corporate
AF-10870,Art Ferguson,Consumer
RS-19765,Roland Schwarz,Corporate
FH-14275,Frank Hawley,Corporate
FO-14305,Frank Olsen,Consumer
MD-17860,Michael Dominguez,Corporate
JP-15460,Jennifer Patt,Corporate
BP-11230,Benjamin Patterson,Consumer
KA-16525,Kelly Andreada,Consumer
LC-16930,Linda Cazamias,Corporate
BF-11005,Barry Franz,Home Office
SC-20050,Sample Company A,Home Office
PJ-18835,Patrick Jones,Corporate
DC-12850,Dan Campbell,Consumer
TZ-21580,Tracy Zic,Consumer
MC-18100,Mick Crebagga,Consumer
CC-12475,Cindy Chapman,Consumer
ES-14020,Erica Smith,Consumer
GG-14650,Greg Guthrie,Corporate
KH-16330,Katharine Harms,Corporate
BG-11695,Brooke Gillingham,Corporate
PR-18880,Patrick Ryan,Consumer
MY-17380,Maribeth Yedwab,Corporate
JW-15220,Jane Waco,Corporate
AB-10105,Adrian Barton,Consumer
JB-16000,Joy Bell-,Consumer
JD-16150,Justin Deggeller,Corporate
DD-13570,Dorothy Dickinson,Consumer
JS-15685,Jim Sink,Corporate
RD-19930,Russell D'Ascenzo,Consumer
AS-10135,Adrian Shami,Home Office
HL-15040,Hunter Lopez,Consumer
CD-11920,Carlos Daly,Consumer
DK-13090,Dave Kipp,Consumer
VW-21775,Victoria Wilson,Corporate
MB-18085,Mick Brown,Consumer
AB-10150,Aimee Bixby,Consumer
CD-12280,Christina DeMoss,Consumer
SC-20770,Stewart Carmichael,Corporate
EK-13795,Eileen Kiefer,Home Office
NC-18415,Nathan Cano,Consumer
CK-12595,Clytie Kelty,Consumer
RA-19885,Ruben Ausman,Corporate
KD-16345,Katherine Ducich,Consumer
XP-21865,Xylona Preis,Consumer
JK-15370,Jay Kimmel,Consumer
CB-12025,Cassandra Brandow,Consumer
KE-16420,Katrina Edelman,Corporate
CC-12220,Chris Cortes,Consumer
AP-10720,Anne Pryor,Home Office
JE-15715,Joe Elijah,Consumer
AD-10180,Alan Dominguez,Home Office
TC-21295,Toby Carlisle,Consumer
EM-14065,Erin Mull,Consumer
PW-19030,Pauline Webber,Corporate
CG-12040,Catherine Glotzbach,Home Office
MT-17815,Meg Tillman,Consumer
AW-10930,Arthur Wiediger,Home Office
CB-12415,Christy Brittain,Consumer
MW-18235,Mitch Willingham,Corporate
GH-14425,Gary Hwang,Consumer
SP-20620,Stefania Perrino,Corporate
SB-20290,Sean Braxton,Corporate
TB-21190,Thomas Brumley,Home Office
MC-17590,Matt Collister,Corporate
JE-15745,Joel Eaton,Consumer
DR-12940,Daniel Raglin,Home Office
MH-18025,Michelle Huthwaite,Consumer
JL-15505,Jeremy Lonsdale,Consumer
VM-21685,Valerie Mitchum,Home Office
KN-16450,Kean Nguyen,Corporate
PM-19135,Peter McVee,Home Office
SM-20950,Suzanne McNair,Corporate
DC-13285,Debra Catini,Consumer
RR-19315,Ralph Ritter,Consumer
DB-12910,Daniel Byrd,Home Office
MJ-17740,Max Jones,Consumer
ZC-21910,Zuschuss Carroll,Consumer
AB-10600,Ann Blume,Corporate
ML-17410,Maris LaWare,Consumer
FP-14320,Frank Preis,Consumer
MG-18145,Mike Gockenbach,Consumer
CP-12085,Cathy Prescott,Corporate
NZ-18565,Nick Zandusky,Home Office
Dp-13240,Dean percer,Home Office
JK-15730,Joe Kamberova,Consumer
MM-18280,Muhammed MacIntyre,Corporate
BP-11050,Barry Pond,Corporate
AJ-10945,Ashley Jarboe,Consumer
JC-15340,Jasper Cacioppo,Consumer
MG-17875,Michael Grace,Home Office
AG-10675,Anna Gayman,Consumer
AG-10390,Allen Goldenen,Consumer
BF-11020,Barry Französisch,Corporate
KH-16630,Ken Heidel,Corporate
SS-20410,Shahid Shariari,Consumer
FM-14380,Fred McMath,Consumer
TB-21355,Todd Boyes,Corporate
SJ-20125,Sanjit Jacobs,Home Office
JD-16015,Joy Daniels,Consumer
NW-18400,Natalie Webber,Consumer
TS-21430,Tom Stivers,Corporate
DV-13465,Dianna Vittorini,Consumer
KN-16705,Kristina Nunn,Home Office
TB-21400,Tom Boeckenhauer,Consumer
ZD-21925,Zuschuss Donatelli,Consumer
RW-19540,Rick Wilson,Corporate
DB-13555,Dorothy Badders,Corporate
JK-16120,Julie Kriz,Home Office
LB-16795,Laurel Beltran,Home Office
CS-11950,Carlos Soltero,Consumer
BS-11800,Bryan Spruell,Home Office
SA-20830,Sue Ann Reed,Consumer
HM-14980,Henry MacAllister,Consumer
VB-21745,Victoria Brennan,Corporate
RM-19750,Roland Murray,Consumer
MH-17290,Marc Harrigan,Home Office
PV-18985,Paul Van Hugh,Home Office
CS-11845,Cari Sayre,Corporate
BD-11770,Bryan Davis,Consumer
MM-17260,Magdelene Morse,Consumer
RS-19420,Ricardo Sperren,Corporate
GB-14530,George Bell,Corporate
CY-12745,Craig Yedwab,Corporate
JF-15190,Jamie Frazer,Consumer
BF-11215,Benjamin Farhat,Home Office
JK-15205,Jamie Kunitz,Consumer
JK-15625,Jim Karlsson,Consumer
MA-17560,Matt Abelman,Home Office
RA-19945,Ryan Akin,Consumer
JC-16105,Julie Creighton,Corporate
DM-13015,Darrin Martin,Consumer
JO-15145,Jack O'Briant,Corporate
RB-19330,Randy Bradley,Consumer
ND-18370,Natalie DeCherney,Consumer
CM-12160,Charles McCrossin,Consumer
ML-17395,Marina Lichtenstein,Corporate
JR-15700,Jocasta Rupert,Consumer
IG-15085,Ivan Gibson,Consumer
DW-13195,David Wiener,Corporate
SH-19975,Sally Hughsby,Corporate
TW-21025,Tamara Willingham,Home Office
PG-18895,Paul Gonzalez,Consumer
PH-18790,Patricia Hirasaki,Home Office
RD-19480,Rick Duston,Consumer
TH-21550,Tracy Hopkins,Home Office
PS-18970,Paul Stevenson,Home Office
OT-18730,Olvera Toch,Consumer
SP-20920,Susan Pistek,Consumer
FC-14245,Frank Carlisle,Home Office
MY-18295,Muhammed Yedwab,Corporate
TA-21385,Tom Ashbrook,Home Office
HH-15010,Hilary Holden,Corporate
HA-14905,Helen Abelman,Consumer
MP-17965,Michael Paige,Corporate
MO-17500,Mary O'Rourke,Consumer
JS-16030,Joy Smith,Consumer
BD-11620,Brian DeCherney,Consumer
BO-11425,Bobby Odegard,Consumer
SL-20155,Sara Luxemburg,Home Office
AJ-10780,Anthony Jacobs,Corporate
GH-14410,Gary Hansen,Home Office
VP-21760,Victoria Pisteka,Corporate
DL-13495,Dionis Lloyd,Corporate
PT-19090,Pete Takahito,Consumer
EL-13735,Ed Ludwig,Home Office
AJ-10960,Astrea Jones,Consumer
MC-17275,Marc Crier,Consumer
BK-11260,Berenike Kampe,Consumer
SV-20815,Stuart Van,Corporate
AG-10765,Anthony Garverick,Home Office
AG-10495,Andrew Gjertsen,Corporate
SW-20245,Scot Wooten,Consumer
CR-12730,Craig Reiter,Consumer
CK-12760,Cyma Kinney,Corporate
GM-14440,Gary McGarr,Consumer
QJ-19255,Quincy Jones,Corporate
CW-11905,Carl Weiss,Home Office
EM-13825,Elizabeth Moffitt,Corporate
CD-11980,Carol Darley,Consumer
EB-14170,Evan Bailliet,Consumer
SN-20560,Skye Norling,Home Office
TH-21235,Tiffany House,Corporate
PF-19225,Phillip Flathmann,Consumer
SV-20365,Seth Vernon,Consumer
IL-15100,Ivan Liston,Consumer
SC-20695,Steve Chapman,Corporate
BP-11155,Becky Pak,Consumer
VG-21790,Vivek Gonzalez,Consumer
BF-11275,Beth Fritzler,Corporate
MT-18070,Michelle Tran,Home Office
SC-20305,Sean Christensen,Consumer
BW-11200,Ben Wallace,Consumer
CT-11995,Carol Triggs,Consumer
CL-11890,Carl Ludwig,Consumer
ND-18460,Neil Ducich,Corporate
NC-18625,Noah Childs,Corporate
NR-18550,Nick Radford,Consumer
GZ-14545,George Zrebassa,Corporate
MG-17680,Maureen Gastineau,Home Office
MC-17605,Matt Connell,Corporate
JF-15490,Jeremy Farry,Consumer
MG-18205,Mitch Gastineau,Corporate
DB-13360,Dennis Bolton,Home Office
EB-13870,Emily Burns,Consumer
KS-16300,Karen Seio,Corporate
CM-11815,Candace McMahon,Corporate
BW-11110,Bart Watters,Corporate
BT-11530,Bradley Talbott,Home Office
BF-10975,Barbara Fisher,Corporate
KC-16540,Kelly Collister,Consumer
AS-10630,Ann Steele,Home Office
AP-10915,Arthur Prichep,Consumer
JO-15280,Jas O'Carroll,Consumer
AG-10900,Arthur Gainer,Consumer
FA-14230,Frank Atkinson,Corporate
ME-18010,Michelle Ellison,Corporate
SC-20575,Sonia Cooley,Consumer
CA-11965,Carol Adams,Corporate
PP-18955,Paul Prost,Home Office
DS-13030,Darrin Sayre,Home Office
LS-17200,Luke Schmidt,Corporate
LC-16870,Lena Cacioppo,Consumer
BD-11725,Bruce Degenhardt,Consumer
RB-19360,Raymond Buch,Consumer
DL-12865,Dan Lawera,Consumer
PB-19105,Peter Bühler,Consumer
BD-11605,Brian Dahlen,Consumer
BE-11410,Bobby Elias,Consumer
KW-16435,Katrina Willman,Consumer
KT-16480,Kean Thornton,Consumer
MH-17785,Maya Herman,Corporate
PB-19150,Philip Brown,Consumer
ES-14080,Erin Smith,Corporate
TM-21010,Tamara Manning,Consumer
ML-18265,Muhammed Lee,Consumer
BM-11575,Brendan Murry,Corporate
MO-17800,Meg O'Connel,Home Office
PA-19060,Pete Armstrong,Home Office
JF-15355,Jay Fein,Consumer
AB-10165,Alan Barnes,Consumer
GM-14500,Gene McClure,Consumer
TC-21145,Theresa Coyne,Corporate
CC-12145,Charles Crestani,Consumer
SG-20605,Speros Goranitis,Consumer
AS-10090,Adam Shillingsburg,Consumer
EH-14185,Evan Henry,Consumer
CL-12700,Craig Leslie,Home Office
TB-21520,Tracy Blumstein,Consumer
BB-10990,Barry Blumstein,Corporate
TP-21415,Tom Prescott,Consumer
GK-14620,Grace Kelly,Corporate
PS-18760,Pamela Stobb,Consumer
RD-19660,Robert Dilbeck,Home Office
SO-20335,Sean O'Donnell,Consumer
LC-17050,Liz Carlisle,Consumer
KD-16495,Keith Dawkins,Corporate
NF-18595,Nicole Fjeld,Home Office
EM-14095,Eudokia Martin,Corporate
CS-12460,Chuck Sachs,Consumer
LF-17185,Luke Foster,Consumer
GW-14605,Giulietta Weimer,Consumer
MS-17980,Michael Stewart,Corporate
RP-19855,Roy Phan,Corporate
LR-16915,Lena Radford,Consumer
DL-12925,Daniel Lacy,Consumer
JF-15565,Jill Fjeld,Consumer
AA-10645,Anna Andreadi,Consumer
BG-11740,Bruce Geld,Consumer
JH-15820,John Huston,Consumer
RL-19615,Rob Lucas,Consumer
MO-17950,Michael Oakman,Consumer
TS-21655,Trudy Schmidt,Consumer
DP-13000,Darren Powers,Consumer
KB-16315,Karl Braun,Consumer
FC-14335,Fred Chung,Corporate
BG-11035,Barry Gonzalez,Consumer
SF-20200,Sarah Foster,Consumer
MS-17770,Maxwell Schwartz,Consumer
ST-20530,Shui Tom,Consumer
AH-10195,Alan Haines,Corporate
AR-10405,Allen Rosenblatt,Corporate
HJ-14875,Heather Jas,Home Office
SC-20680,Steve Carroll,Home Office
LR-17035,Lisa Ryan,Corporate
SC-20845,Sung Chung,Consumer
ED-13885,Emily Ducich,Home Office
TM-21490,Tony Molinari,Consumer
DO-13435,Denny Ordway,Consumer
HW-14935,Helen Wasserman,Corporate
PJ-19015,Pauline Johnson,Consumer
EM-13810,Eleni McCrary,Corporate
MK-17905,Michael Kennedy,Corporate
EH-13765,Edward Hooks,Corporate
BO-11350,Bill Overfelt,Corporate
NP-18700,Nora Preis,Consumer
SJ-20215,Sarah Jordon,Consumer
RB-19570,Rob Beeghly,Consumer
BN-11470,Brad Norvell,Corporate
DL-13330,Denise Leinenbach,Consumer
KM-16375,Katherine Murray,Home Office
EB-13840,Ellis Ballard,Corporate
PO-19195,Phillina Ober,Home Office
AS-10045,Aaron Smayling,Corporate
RW-19630,Rob Williams,Corporate
JK-16090,Juliana Krohn,Consumer
JD-15790,John Dryer,Consumer
GM-14695,Greg Maxwell,Corporate
AG-10300,Aleksandra Gannaway,Corporate
JS-15595,Jill Stevenson,Corporate
EJ-14155,Eva Jacobs,Consumer
SC-20230,Scot Coram,Corporate
JC-15385,Jenna Caffey,Consumer
RD-19585,Rob Dowd,Consumer
LW-17125,Liz Willingham,Consumer
MK-18160,Mike Kennedy,Consumer
DB-12970,Darren Budd,Corporate
AM-10705,Anne McFarland,Consumer
EJ-13720,Ed Jacobs,Consumer
BT-11395,Bill Tyler,Corporate
KD-16615,Ken Dana,Corporate
EA-14035,Erin Ashbrook,Corporate
EH-14125,Eugene Hildebrand,Home Office
EC-14050,Erin Creighton,Consumer
GM-14680,Greg Matthias,Consumer
TC-21475,Tony Chapman,Home Office
NM-18445,Nathan Mautz,Home Office
LA-16780,Laura Armstrong,Corporate
RF-19735,Roland Fjeld,Consumer
CP-12340,Christine Phan,Corporate
MH-17620,Matt Hagelstein,Corporate
JC-15775,John Castell,Consumer
AZ-10750,Annie Zypern,Consumer
EM-14200,Evan Minnotte,Home Office
EB-13930,Eric Barreto,Consumer
SW-20350,Sean Wendt,Home Office
SW-20455,Shaun Weien,Consumer
AR-10825,Anthony Rawles,Corporate
HR-14830,Harold Ryan,Corporate
PO-19180,Philisse Overcash,Home Office
BE-11335,Bill Eplett,Home Office
AB-10255,Alejandro Ballentine,Home Office
AJ-10795,Anthony Johnson,Corporate
SF-20065,Sandra Flanagan,Consumer
MH-17455,Mark Hamilton,Consumer
RR-19525,Rick Reed,Corporate
JH-15985,Joseph Holt,Consumer
NP-18325,Naresj Patel,Consumer
CM-12655,Corinna Mitchell,Home Office
LT-16765,Larry Tron,Consumer
KC-16675,Kimberly Carter,Corporate
CS-12505,Cindy Stewart,Consumer
LW-16825,Laurel Workman,Corporate
CK-12325,Christine Kargatis,Home Office
TB-21055,Ted Butterfield,Consumer
TG-21640,Trudy Glocke,Consumer
HK-14890,Heather Kirkland,Corporate
DW-13585,Dorothy Wardle,Corporate
RE-19450,Richard Eichhorn,Consumer
TS-21085,Thais Sissman,Consumer
SG-20470,Sheri Gordon,Consumer
MC-17635,Matthew Clasen,Corporate
SC-20725,Steven Cartwright,Consumer
SC-20260,Scott Cohen,Corporate
TT-21220,Thomas Thornton,Consumer
AA-10315,Alex Avila,Consumer
CJ-12010,Caroline Jumper,Consumer
TR-21325,Toby Ritter,Consumer
MA-17995,Michelle Arnett,Home Office
JE-15475,Jeremy Ellison,Consumer
DB-13405,Denny Blanton,Consumer
GA-14515,George Ashbrook,Consumer
AS-10240,Alan Shonely,Consumer
CC-12670,Craig Carreira,Consumer
PF-19165,Philip Fox,Consumer
SR-20740,Steven Roelle,Home Office
CB-12535,Claudia Bergmann,Corporate
TS-21205,Thomas Seio,Corporate
CC-12550,Clay Cheatham,Consumer
SD-20485,Shirley Daniels,Home Office
PB-18805,Patrick Bzostek,Home Office
TH-21115,Thea Hudgings,Corporate
TN-21040,Tanja Norvell,Home Office
RK-19300,Ralph Kennedy,Consumer
SS-20875,Sung Shariari,Consumer
KB-16405,Katrina Bavinger,Home Office
VM-21835,Vivian Mathis,Consumer
JL-15235,Janet Lee,Consumer
BW-11065,Barry Weirich,Consumer
LH-17020,Lisa Hazard,Consumer
AH-10465,Amy Hunt,Consumer
DP-13390,Dennis Pardue,Home Office
BM-11785,Bryan Mills,Consumer
JO-15550,Jesus Ocampo,Home Office
EH-13945,Eric Hoffmann,Consumer
VS-21820,Vivek Sundaresam,Consumer
AM-10360,Alice McCarthy,Corporate
DW-13480,Dianna Wilson,Home Office
DN-13690,Duane Noonan,Consumer
JG-15805,John Grady,Corporate
JF-15295,Jason Fortune-,Consumer
TS-21340,Toby Swindell,Consumer
SG-20890,Susan Gilcrest,Corporate
NC-18340,Nat Carroll,Consumer
TB-21175,Thomas Boland,Corporate
CR-12580,Clay Rozendal,Home Office
EM-13960,Eric Murdock,Consumer
MS-17365,Maribeth Schnelling,Consumer
JD-16060,Julia Dunbar,Consumer
BV-11245,Benjamin Venier,Corporate
NM-18520,Neoma Murray,Consumer
LH-16750,Larry Hughes,Consumer
SJ-20500,Shirley Jackson,Consumer
LL-16840,Lauren Leatherbury,Consumer
CV-12295,Christina VanderZanden,Consumer
BE-11455,Brad Eason,Home Office
AA-10480,Andrew Allen,Consumer
KM-16720,Kunst Miller,Consumer
GT-14635,Grant Thornton,Corporate
NL-18310,Nancy Lomonaco,Home Office
FW-14395,Fred Wasserman,Corporate
DH-13075,Dave Hallsten,Corporate
BD-11560,Brendan Dodson,Home Office
AG-10270,Alejandro Grove,Consumer
AC-10660,Anna Chung,Consumer
CL-12565,Clay Ludtke,Consumer
TB-21595,Troy Blackwell,Consumer
MZ-17515,Mary Zewe,Corporate
EN-13780,Edward Nazzal,Consumer
JK-15325,Jason Klamczynski,Corporate
VG-21805,Vivek Grady,Corporate
JK-15640,Jim Kriz,Home Office
FH-14350,Fred Harton,Consumer
BM-11140,Becky Martin,Consumer
SV-20785,Stewart Visinsky,Consumer
CJ-11875,Carl Jackson,Corporate
BT-11305,Beth Thompson,Home Office
TG-21310,Toby Gnade,Consumer
CG-12520,Claire Gute,Consumer
TH-21100,Thea Hendricks,Consumer
RM-19375,Raymond Messe,Consumer
SC-20095,Sanjit Chand,Consumer
TB-21250,Tim Brockman,Consumer
TP-21565,Tracy Poddar,Corporate
MC-18130,Mike Caudle,Corporate
RC-19825,Roy Collins,Consumer
MH-17440,Mark Haberlin,Corporate
CM-12235,Chris McAfee,Consumer
LH-17155,Logan Haushalter,Consumer
SP-20650,Stephanie Phelps,Corporate
MS-17710,Maurice Satty,Consumer
AF-10885,Art Foster,Consumer
AB-10015,Aaron Bergman,Consumer
LD-17005,Lisa DeCherney,Consumer
CS-12490,Cindy Schnelling,Corporate
JS-15880,John Stevenson,Consumer
MC-17425,Mark Cousins,Corporate
RF-19345,Randy Ferguson,Corporate
CD-12790,Cynthia Delaney,Home Office
CA-12055,Cathy Armstrong,Home Office
TC-20980,Tamara Chand,Corporate
JH-16180,Justin Hirsh,Consumer
NP-18685,Nora Pelletier,Home Office
EH-13990,Erica Hackney,Consumer
